malealleducationassociate,0,140,286,2069,5558,7256,8629,10808,11115,11115,13624,13653,15111,15966,15966,18035,18584,18769,20924,20924,20924,21642,23680,23680,23759,25891,25891,25891,25891,25891,25944,28582,28582,28582,30329,30825,30825,30825,30825,30825,30825,32408,33657,33657,35491,35820,35820,35820,35820,35820,38442,38598,38598,38986,40836,40836,40836,40836,40836,42630,43647,44054,45863,45863,45863,46110,48527,48527,49530,50779,50779,50779,50779,53074,54259,55872,55872,56116,58523,59004,60764,60764,60764,63167,63912,65785,67149,70170,70841,74453,75734,77696,80717,81634,86581,92551,164518,192159,192159,192159
malealleducationbachelors,0,232,1481,5499,7038,9178,11115,12099,13653,14348,15966,15966,17827,18584,19601,20924,20924,21150,23680,23680,25764,25891,25891,27197,28582,28904,30825,30825,30825,30825,31131,33657,34281,35820,35820,35820,35820,37392,38598,39216,40836,40836,40836,40836,43438,43647,45823,45863,45863,48130,48527,50100,50779,50779,50779,51489,53617,54969,55872,55872,58273,59812,60764,60764,60764,62136,63942,65785,65785,67730,69211,70841,70841,72541,74342,75734,75734,78640,80421,80717,83544,85860,87592,90544,91660,95867,150455,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159
malealleducationadvanced,97,286,2552,6171,9402,11115,13094,14311,16323,18584,20532,20924,23389,24642,25891,27938,29338,30825,30825,31705,33657,35343,35820,36331,38598,39095,40836,40836,41387,43647,44696,45863,45863,47277,48527,49539,50779,50779,50894,53617,53660,55872,55872,57184,58523,60576,60764,60764,60764,63399,64129,65785,65785,68084,69621,70841,70841,71842,73558,75093,75734,75734,78023,79521,80717,80717,82465,84196,85860,87469,90079,90831,92045,94649,96496,142919,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159,192159
maleblackageagerange1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,3323,3573,3573,3573,3573,3573,3573,4116,6230,6230,6230,6230,6230,6230,6230,6676,8476,8476,8476,8476,10649,11068,11068,11068,11846,13667,13667,13667,14521,15987,15987,17524,18482,20050,20893,22476,23634,25499,25798,27147,30423,33807,39860,85658
maleblackageagerange2,0,0,0,0,0,0,0,0,0,0,0,254,274,1982,3573,5043,6230,6230,6390,8476,9216,11068,11068,11068,13156,13667,13667,13667,13667,13667,13667,15407,15987,15987,15987,16031,18482,18482,18482,18482,18482,18482,18482,20376,20893,20893,20893,20893,20893,20893,20893,23193,23634,23634,25566,25798,25798,25798,25798,26276,28479,28479,28479,28479,29084,30740,30740,30740,30740,30740,30740,30740,30740,33215,33569,33569,35544,35696,35696,35696,35696,38256,39005,40834,40834,43046,43527,45277,47327,48464,50319,51625,58534,73365,73365,78284,82155,85420,89563,95274
maleblackageagerange3,0,0,0,0,0,0,0,0,16,274,274,725,3573,3573,4139,6230,6230,6230,6230,6230,7988,10498,11068,11068,11556,13667,13667,13667,13667,14849,15987,15987,15987,15987,16601,18482,18482,18482,18482,18482,19442,20893,20893,20893,20893,20893,20893,20893,22846,23634,23899,25798,25798,25798,25798,25798,25798,26304,28479,28479,28479,29072,30740,30740,30740,30740,32155,33569,34978,35696,35696,35696,35696,35696,37711,38453,38453,38453,39373,40834,40834,40834,41398,43527,44917,46107,46107,46571,50602,53033,57249,71052,75985,78466,79164,83001,83001,85625,89436,94339
maleblackageagerange4,0,0,0,0,0,258,274,3261,3573,4675,6230,6230,6230,6230,6230,8094,8476,8476,8476,8476,10481,11068,12195,13667,13667,13754,15987,15987,15987,17399,18482,18482,18482,18482,18982,20893,20893,20893,20893,20893,20893,20893,20893,20893,23427,23634,23634,23634,24328,25798,25798,25798,25798,25798,25798,28226,28479,28479,29118,30740,30740,30740,30740,30740,30740,30740,30740,30953,33569,33569,35134,35696,35696,35696,37516,38812,40834,40834,40834,44830,46107,46107,48197,48464,48677,50723,50723,51845,67133,73365,74998,77028,78466,80495,82479,86259,90315,92354,110514,207890
maleblackageagerange5,0,0,0,0,0,0,221,274,274,1121,3573,3573,5001,6230,6230,8068,8476,8476,10347,11068,11068,11068,11562,13667,13667,14409,15987,15987,15987,15987,15987,15987,18421,18482,18482,19326,20893,20893,20893,20893,21480,23634,23634,23888,25798,25798,25798,25798,25798,25798,25798,25798,25798,27207,28479,28479,28479,28479,30726,30740,30740,31569,33569,34108,35696,35696,35696,35696,36437,38453,38453,40121,40834,40834,40834,44548,46107,47659,48464,48464,50415,50723,50723,50723,50723,53562,59196,63396,70455,73365,73365,75435,75839,77934,80110,83350,87068,91594,93072,138651
maleblackageagerange6,0,0,0,0,0,77,274,621,3573,3573,5072,6230,6230,6230,6230,6230,6230,8341,8476,8476,8809,11068,11068,11068,11068,12841,13667,13667,14420,15987,15987,15987,15987,15987,15987,18187,18482,18482,18482,20188,20893,20893,20893,20893,22857,23634,25782,25798,25798,25798,26532,28479,28901,30740,30740,30740,30740,30740,30740,32949,35696,35696,35696,35696,35771,38453,38453,38453,39615,40834,40834,42896,43527,45044,46107,46107,46436,49398,50723,50723,50723,51165,53697,55349,70038,73365,76008,78466,80506,82603,83001,83996,85908,89063,89451,92129,93072,93668,98024,197806
maleblackageagerange7,0,0,0,0,218,274,274,527,3573,6220,6230,6230,6230,6230,8103,8476,8976,11068,11068,11068,13542,13667,13667,13667,13667,14942,15987,15987,15987,16556,18482,18482,18482,18482,18482,18482,20568,20893,20893,20893,23041,23634,23634,25587,25798,25798,25798,25798,25852,28886,30740,30740,30740,30740,30740,30740,30740,30740,32937,33569,33569,35218,35696,35696,35696,35696,35696,35696,37605,40196,40834,40834,40834,40834,42588,46107,46107,46107,46409,48464,50289,50723,50723,50723,50723,60718,73365,74564,76586,78466,78466,78466,80923,83006,85268,86488,91524,94416,96931,98949
maleblackageagerange8,0,0,0,0,0,0,199,274,329,3573,3573,3573,3573,4743,6230,6230,6230,6306,8476,8476,9750,11068,11068,11068,11068,11068,12521,13667,13667,13667,14020,15987,15987,15987,15987,17001,18482,18482,18482,18482,18482,20034,20893,20893,20893,20893,20893,23308,23634,23634,25798,25798,25798,25798,25798,27797,28479,28555,30740,30740,33089,34578,35696,35696,35696,35696,37705,39340,40834,40834,41701,43527,44707,46107,46306,48464,48464,49689,50723,50723,54833,64243,71546,73365,73365,73365,77082,78986,81027,81027,81662,83001,84806,87583,89063,90764,95503,98949,98949,154342
maleblackageagerange9,0,0,0,0,254,274,975,3789,6230,6230,6230,6230,6230,6230,6230,6230,6809,8476,8476,8476,8476,8476,8476,8476,8476,10188,11068,11068,11068,11068,11068,11068,13337,13667,13667,13667,13667,13667,13667,13667,14832,15987,16020,18482,18482,18482,18482,20751,20893,20893,20893,20893,20893,20893,22815,23634,23634,23634,23634,23634,25406,25798,25798,26938,28479,28479,29062,30740,30740,30740,30740,32813,33569,33607,35696,35696,35696,35696,38230,40834,42076,46107,46107,46107,46107,48304,50273,56991,64002,69455,73365,73365,74553,78466,80415,83001,83380,85268,90263,96426
