malealleducationassociate,0,0,0,148,175,2374,5323,7228,8710,10520,11122,11122,13672,13678,13821,15921,15921,15921,17576,18597,18597,20380,20870,20870,20870,23103,23692,24550,25771,25771,25771,26003,28533,28533,29410,30730,30730,30730,30730,32453,33612,33682,35781,35781,35781,35781,38356,38557,39976,40709,40709,40709,40709,43589,44889,45704,45704,45704,47345,48543,49152,50621,50621,50621,50621,51666,53619,55715,55715,56740,58571,60621,60621,60621,60974,63605,65608,65647,66049,68779,70691,70691,72497,75657,76656,79251,80578,83088,85989,88976,90657,94011,114390,178282,178282,178282,178282,178282,178282,178282,178282
malealleducationbachelors,0,0,49,175,2575,5939,8230,10373,11122,13285,14135,15921,15921,18541,18961,20870,20870,22070,23692,25028,25771,26015,28533,28712,30730,30730,30730,32760,33612,35574,35781,35781,37545,38557,40653,40709,40709,41079,43630,44873,45704,45704,46714,48543,50389,50621,50621,50621,53276,54454,55715,55715,57833,59352,60621,60621,60621,63468,65455,65647,67845,70246,70691,70691,72797,75124,75657,76575,79627,80578,80676,83970,85820,87362,90149,90657,92372,95150,115918,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282
malealleducationadvanced,0,21,175,4117,7611,10842,12587,15000,15922,18597,19667,20870,22916,23961,25771,25923,28533,30495,30730,33218,35086,35896,38914,40709,40940,43630,45122,45704,47202,48845,50621,50621,50905,53592,55566,55715,57895,59827,60621,60621,62203,63994,65647,65647,68524,70269,70691,71298,74399,75657,76019,79008,80578,80578,83049,85475,85820,88514,90657,90657,92979,95521,97827,168064,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282
maleblackageagerange1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,152,152,152,152,152,152,152,152,1312,3591,3591,3591,3591,3591,5171,5963,5963,5963,5963,5963,7996,8726,8726,8726,8726,8726,9457,11046,11046,11046,11046,11153,13642,13642,15123,15933,15933,16638,18515,20215,20786,20786,23187,24796,25676,27968,30327,32478,38373,46332,88592,149778
maleblackageagerange2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,152,152,152,2899,3591,3591,4043,5963,5963,5963,5963,8712,8726,8726,8726,10253,11046,11046,11046,11046,12037,13642,13642,13642,14566,15933,15933,15933,15933,16885,18515,18515,18757,20786,20786,20786,20786,20786,23470,23537,23537,25130,25676,25676,25676,25676,25676,25996,28479,28479,29092,30723,30723,30723,30723,30723,30723,32581,33497,35583,35593,35593,35593,38409,39679,40671,40757,45437,46500,48577,49108,50629,51057,55476,59746,61243,65728,71879,77835,86018,132935,149778
maleblackageagerange3,0,0,0,0,0,0,0,0,0,0,0,0,68,152,1817,3591,3591,4960,5963,5963,5963,7815,8726,8726,8726,8726,9611,11046,11046,11046,11515,13642,13642,14890,15933,15933,15933,15933,18252,18515,19049,20786,20786,20786,20786,20786,23026,23537,24177,25676,25676,25676,25676,25676,26009,28479,28479,30335,30723,30723,30723,30723,30822,33497,33934,35593,35593,35593,35593,35593,37402,39607,40671,40671,40671,41588,43521,45672,45698,46620,48783,50629,50629,52554,55767,56992,60353,60584,64203,65655,70633,71334,75971,80805,87919,90468,94285,143576,149778,149778,149778
maleblackageagerange4,0,0,0,0,0,0,0,0,0,0,0,12,152,152,1880,3591,4127,5963,5963,7616,8726,8726,9799,11046,11046,11046,11046,11071,13642,14733,15933,15933,15933,15933,15933,17044,18515,18515,18515,19840,20786,20786,22623,23537,23537,24666,25676,25676,25676,28027,29329,30723,30723,30723,30723,30723,30723,32210,33497,34657,35593,35593,35593,35660,38549,39788,40671,40671,40671,40671,42538,44698,45698,45698,48102,50629,50629,51744,54481,55767,55767,59479,60584,60639,65529,65529,65529,69775,74509,75892,80029,86010,89949,93513,97543,142662,149778,149778,149778,149778,149778
maleblackageagerange5,0,0,0,0,0,0,0,0,0,49,152,152,589,3591,3591,4629,5963,8021,8726,8726,10743,11046,11046,11046,11480,13642,13642,15583,15933,15933,16204,18515,18515,20254,20786,20786,21741,23537,23537,24233,25676,25676,25676,25676,28406,28479,29509,30723,30723,30723,30723,33063,33497,35428,35593,35593,37911,38803,40671,40671,40671,40671,40671,41148,44070,45698,45698,45698,45698,47661,49290,50629,50629,50629,50629,50629,52708,54575,55767,55844,59548,60584,61266,65117,65529,67382,70495,74772,78475,80121,82481,88967,91530,95935,96428,125766,149778,149778,149778,149778,149778
maleblackageagerange6,0,0,0,0,0,0,0,0,0,0,103,152,418,3692,5963,5963,8204,8726,8726,8726,8726,11004,11046,11046,11121,13642,13642,13642,15034,15933,15933,15933,17544,18515,18515,19744,20786,20786,20786,20974,23537,23537,23537,24524,25676,25676,25676,26005,28833,30723,30723,30723,30723,30723,30723,33455,33497,34793,35593,35593,35593,37819,38549,38987,40671,40671,40671,41553,44532,45698,46824,48663,50629,50629,50972,53486,55264,55767,55791,59438,60584,62190,64709,65529,66932,70218,70633,72227,75376,77318,80451,83929,87359,95123,149618,149778,149778,149778,149778,149778,149778
maleblackageagerange7,0,0,0,0,0,0,0,0,0,0,0,78,152,152,152,716,3591,3591,4834,5963,5963,6081,8726,8726,8726,8726,8726,8726,9142,11046,11046,11046,11046,11046,13568,13642,13642,14577,15933,15933,15933,16370,18515,18556,20786,20786,20786,22141,23537,23970,25676,25676,25676,26831,28479,28479,28479,30519,30723,30723,31019,33497,34714,35593,35593,37132,38549,40196,40671,40671,40671,44541,46551,49568,50629,50629,52197,54234,56546,59225,60584,60584,63008,65374,68934,70633,71833,74427,76330,79569,80451,82845,87821,90579,103423,149778,149778,149778,149778,149778,149778
maleblackageagerange8,0,0,0,0,0,0,0,0,36,152,152,1931,3955,5963,5963,5963,5963,5963,7798,8726,8726,8726,8726,8726,9416,11046,11046,11046,11046,11046,11046,11046,13392,13642,14186,15933,15933,15933,16129,18515,18515,19525,20786,20786,20786,22720,24257,25676,25676,25676,25676,26806,28479,28733,30723,30723,30723,32458,33751,35593,35593,35593,35593,36989,38830,40671,40671,40671,41479,43521,45509,45698,47725,49348,50629,50629,50629,52376,54617,57139,58963,60787,63750,65307,66197,69516,70633,75010,77023,80451,83857,86711,91065,136541,149778,149778,149778,149778,149778,149778,149778
maleblackageagerange9,0,0,0,0,0,0,0,87,152,2282,3591,5951,5963,7079,8726,8726,8726,8726,8726,8726,8726,8726,8726,8871,11046,11046,11046,11046,11046,11046,11046,12521,13642,13642,13642,15784,15933,15933,15933,15933,17572,18515,18515,18710,20786,20786,20786,20786,20786,23402,23537,25570,25676,27269,28479,28479,29470,30723,30723,30723,32111,33497,35329,35593,35593,35593,38266,38549,38642,40671,42711,43521,45244,45698,45698,48072,49086,50629,50629,50756,53486,53486,54801,58724,60584,61127,65490,65529,65980,68922,73339,81921,88725,93872,133308,149778,149778,149778,149778,149778,149778
maleblackageagerange10,0,0,0,0,0,609,3591,3813,5963,5963,8001,8726,8726,8726,8726,8726,8726,8932,11046,11046,11046,11046,11046,11442,13642,13642,13642,13642,13642,13642,14918,15933,15933,15933,15933,15933,18232,18515,18515,18515,18515,18515,19758,20786,20786,20786,20786,20786,20786,21593,23537,23537,23537,23537,25560,25676,25676,25676,26299,28479,28479,28479,29528,30723,30723,30892,33497,33497,35281,35593,38147,38549,40344,42271,43521,45552,45698,46897,48577,48577,52313,53486,55490,55767,58554,60223,60584,61628,65073,65529,69960,75211,76415,80238,82828,105849,149778,149778,149778,149778,149778
